"wp_order_id","order_status","coupon_codes","discount_amount","order_total"
"764127","wc-completed","HaiLaQfeel!","10","43.00"
"764107","wc-completed","HaiLaQfeel!","48","206.40"
"764066","wc-completed","HaiLaQfeel!","36","154.80"
"764057","wc-completed","HaiLaQFeel!","24","103.20"
"764046","wc-failed","Hailaqfeel!","24","103.20"
"764034","wc-completed","HaiLaQfeel!","16","69.00"
"764023","wc-completed","Hailaqfeel!","30","129.00"
"764009","wc-processing","KUY100ADA","420","0.00"
"763984","wc-completed","HaiLaQfeel!","24","103.20"
"763966","wc-completed","HaiLaQfeel!","30","129.00"
"763960","wc-completed","HaiLaQfeel!","60","258.00"
"763521","wc-completed","HaiLaQfeel!","70","301.00"
"763352","wc-cancelled","HaiLaQfeel!","50","215.00"
"763248","wc-processing","KUY100ADA","60","0.00"
"763046","wc-cancelled","Lunatic33","40","87.20"
"763040","wc-completed","HaiLaQfeel!","24","103.50"
"762978","wc-completed","HaiLaQfeel!","32","138.00"
"762712","wc-completed","HaiLaQfeel!","30","129.00"
"762672","wc-completed","HaiLaQfeel!","24","103.20"
"762555","wc-completed","LUNATIC33","20","43.60"
"762473","wc-completed","HailaQfeel!","30","129.00"
"762421","wc-completed","HaiLaQfeel!","20","86.00"
"762409","wc-completed","HaiLaQfeel!","16","69.00"
"762397","wc-completed","HaiLaQfeel!","20","86.00"
"762389","wc-completed","HaiLaQfeel!","30","129.00"
"762320","wc-completed","HaiLaQfeel!","16","69.00"
"762310","wc-completed","HailaQfeel!","12","51.60"
"762269","wc-completed","HaiLaQfeel!","10","43.00"
"762232","wc-completed","Qfeel20GF","32","138.00"
"762205","wc-completed","Qfeel20GF","32","138.00"
"762195","wc-completed","Qfeel20GF","24","103.20"
"762177","wc-completed","HaiLaQfeel!","12","51.60"
"762130","wc-completed","HaiLaQfeel!","30","129.00"
"762088","wc-completed","HaiLaQfeel!","20","86.00"
"762074","wc-completed","Qfeel20GF","20","86.00"
"762037","wc-processing","KUY100ADA","60","0.00"
"762019","wc-processing","Caria100#","1020","0.00"
"761921","wc-completed","Qfeel20GF","48","206.40"
"761908","wc-completed","HaiLaQfeel!","60","258.00"
"761898","wc-processing","KUY100ADA","60","0.00"
"761880","wc-processing","KUY100ADA","90","0.00"
"761856","wc-processing","KUY100ADA","1080","0.00"
"761831","wc-processing","KUY100ADA","1260","0.00"
"761800","wc-processing","KUY100ADA","1980","0.00"
"761764","wc-processing","KUY100ADA","2610","0.00"
"761711","wc-completed","Qfeel20GF","20","86.00"
"761602","wc-completed","HaiLaQfeel!","24","103.50"
"761558","wc-completed","HaiLaQfeel!","40","172.00"
"761338","wc-completed","LUNATIC33","20","43.60"
"761302","wc-completed","HaiLAQfeel!","20","86.00"
"761236","wc-completed","HaiLaQfeel!","20","86.00"
"761213","wc-completed","HaiLaQfeel!","20","86.00"
"761170","wc-completed","Lunatic33","40","87.20"
"761159","wc-completed","HaiLaQfeel!","36","154.80"
"761063","wc-completed","HaiLaQfeel!","22","94.60"
"761045","wc-completed","Qfeel20GF","16","69.00"
"761041","wc-completed","HaiLaQfeel!","36","154.80"
"761020","wc-completed","Qfeel20GF","36","154.80"
"761017","wc-failed","Qfeel20GF","24","103.20"
"761010","wc-cancelled","Qfeel20GF","24","103.20"
"760908","wc-completed","Qfeel20GF","24","103.20"
"760637","wc-completed","LUNATIC33","20","43.60"
"760536","wc-completed","HaiLaQfeel!","12","51.60"
"760475","wc-completed","HaiLaQfeel!","30","129.00"
"760417","wc-completed","HaiLaQfeel!","50","215.00"
"760111","wc-completed","HaiLaQfeel!","72","309.60"
"760108","wc-completed","HaiLaQfeel!","24","103.20"
"760051","wc-completed","HaiLaQfeel!","36","154.80"
"759907","wc-failed","HaiLaQfeel!","50","215.00"
"759864","wc-completed","HaiLaQfeel!","8","34.50"
"759858","wc-completed","HaiLaQfeel!","16","69.00"
"759836","wc-completed","Qfeel20GF","30","129.00"
"759823","wc-completed","VSPG15","44.85","269.10"
"759814","wc-completed","VSPG25","74.75","239.20"
"759646","wc-completed","LUNATIC33","40","87.20"
"759589","wc-completed","LUNATIC33","40","87.20"
"759574","wc-completed","LUNATIC33","20","43.60"
"759565","wc-completed","LUNATIC33","40","87.20"
"759560","wc-completed","Vspg15","44.85","269.10"
"759549","wc-completed","LUNATIC33","20","43.60"
"759421","wc-completed","HaiLaQfeel!","30","129.00"
"759276","wc-completed","Qfeel20GF","16","69.00"
"759257","wc-completed","hailaqfeel!","30","129.00"
"759238","wc-completed","VSPG25","74.75","239.20"
"758914","wc-completed","VSPG15","44.85","269.10"
"758897","wc-cancelled","Qfeel20GF","16","69.00"
"758349","wc-cancelled","VSPG15","44.85","269.10"
"758347","wc-cancelled","VSPG15","44.85","269.10"
"757954","wc-completed","HaiLaQfeel!","36","154.80"
"757878","wc-completed","Vspg15","44.85","269.10"
"757760","wc-completed","HaiLaQfeel!","32","138.00"
"757734","wc-processing","Armonii100#","360","0.00"
"757729","wc-completed","VSPG15","44.85","269.10"
"757692","wc-completed","Vspg15","44.85","269.10"
"754586","wc-completed","Armonii100#","900","0.00"
"754570","wc-completed","Armonii100#","900","0.00"
"754557","wc-completed","Armonii100#","1200","0.00"
"754540","wc-completed","Armonii100#","1600","0.00"
"754534","wc-completed","Armonii100#","300","0.00"
"754528","wc-completed","Armonii100#","300","0.00"
"754509","wc-completed","Armonii100#","1440","0.00"
"754496","wc-completed","Armonii100#","960","0.00"
"753377","wc-completed","qfeel20FB","16","69.00"
"753373","wc-completed","AMBILET25","37.5","121.50"
"753367","wc-cancelled","qfeel20FB","16","69.00"
"753352","wc-failed","AMBILET25","37.5","121.50"
"753326","wc-completed","qfeel20FB","36","154.80"
"753244","wc-completed","Hailaqfeel!","36","154.80"
"753188","wc-cancelled","AMBILET25","20","65.00"
"753184","wc-completed","qfeel20FB","36","154.80"
"753061","wc-completed","ambilet25","40","130.00"
"753026","wc-failed","Qfeel20FB","24","103.50"
"753006","wc-cancelled","Qfeel20FB","24","103.50"
"752929","wc-completed","qfeel20FB","40","172.00"
"752922","wc-cancelled","qfeel20FB","40","172.00"
"752870","wc-completed","AMBILET25","25","81.00"
"752777","wc-completed","qfeel20FB","40","172.00"
"752769","wc-completed","Qfeel20fb","24","103.20"
"752652","wc-completed","qfeel20FB","48","206.40"
"752586","wc-completed","AMBILET25","37.5","121.50"
"752554","wc-completed","Ambilet25","12.5","40.50"
"752228","wc-completed","Ambilet25","20","65.00"
"751893","wc-completed","Ambilet25","50","162.00"
"751869","wc-completed","Qfeel20fb","20","86.00"
"751866","wc-cancelled","Qfeel20fb","20","86.00"
"751840","wc-completed","AMBILET25","27.5","89.10"
"751823","wc-completed","Qfeel20fb","30","129.00"
"751773","wc-completed","AMBILET25","50","162.00"
"751771","wc-completed","Friday20","49","208.25"
"751584","wc-completed","qfeel20fb","30","129.00"
"751432","wc-completed","QfeEL20FB","16","69.00"
"751415","wc-completed","qfeel20fb","24","103.20"
"751397","wc-completed","Qfeel20GF","12","51.60"
"751369","wc-cancelled","Qfeel20fb","30","129.00"
"751299","wc-completed","Qfeel20FB","60","258.00"
"751271","wc-completed","Qfeel20GF","84","361.20"
"750973","wc-completed","Qfeel20GF","40","172.50"
"750913","wc-completed","Qfeel20GF","20","86.00"
"750766","wc-completed","Qfeel20fb","24","103.20"
"750732","wc-completed","WEDNESDAY15","36.75","220.50"
"750027","wc-completed","Qfeel20FB","20","86.00"
"749862","wc-completed","Qfeel20GF","24","103.20"
"749728","wc-completed","qfree","100","0.00"
"749462","wc-completed","HaiLaQfeel!","80","344.00"
"748950","wc-processing","Vla100hopol","120","0.00"
"748933","wc-processing","Vla100hopol","480","0.00"
"748556","wc-completed","Qfeel20GF","30","129.00"
"748552","wc-completed","Qfeel20GF","30","129.00"
"748523","wc-completed","QFEEL20GF","48","206.40"
"748520","wc-completed","Qfeel20GF","24","103.20"
"748427","wc-completed","Qfeel20GF","30","129.00"
"748410","wc-completed","Qfeel20GF","30","129.00"
"748361","wc-completed","Qfeel20GF","20","86.00"
"748330","wc-completed","Qfeel20GF","24","103.20"
"748323","wc-completed","Qfeel20GF","30","129.00"
"748268","wc-completed","Qfeel20FB","48","206.40"
"748181","wc-completed","Qfeel20Purcelusi","20","86.00"
"748152","wc-cancelled","Qfeel20Purcelusi","20","86.00"
"748069","wc-completed","Qfeel20Purcelusi","30","129.00"
"747965","wc-processing","Vla100hopol","480","0.00"
"747885","wc-completed","Qfeel20purcelusi","16","69.00"
"747529","wc-completed","BLACKFRIDAY40","39.6","64.35"
"747498","wc-completed","Qfeel20purcelusi","20","86.00"
"747379","wc-completed","HAilaqfeel!","36","154.80"
